Mes;Tipo;Preco
2024-02;Comum;6.51
2024-02;Aditivada;5.87
2024-02;Premium;5.41
2024-03;Comum;7.27
2024-03;Aditivada;6.92
2024-03;Premium;5.54
2024-04;Comum;6.86
2024-04;Aditivada;4.67
2024-04;Premium;5.69
2024-05;Comum;7.93
2024-05;Aditivada;5.61
2024-05;Premium;6.25
2024-06;Comum;6.62
2024-06;Aditivada;7.3
2024-06;Premium;5.03
2024-07;Comum;5.95
2024-07;Aditivada;6.14
2024-07;Premium;5.29
2024-08;Comum;5.34
2024-08;Aditivada;7.42
2024-08;Premium;7.99
2024-09;Comum;6.84
2024-09;Aditivada;5.36
2024-09;Premium;7.07
2024-10;Comum;6.26
2024-10;Aditivada;6.18
2024-10;Premium;7.76
2024-11;Comum;6.13
2024-11;Aditivada;4.52
2024-11;Premium;6.51
2024-12;Comum;6.04
2024-12;Aditivada;6.73
2024-12;Premium;6.88
2025-01;Comum;6.75
2025-01;Aditivada;4.81
2025-01;Premium;5.96
2025-02;Comum;5.58
2025-02;Aditivada;5.01
2025-02;Premium;5.43
2025-03;Comum;5.54
2025-03;Aditivada;6.85
2025-03;Premium;5.76
2025-04;Comum;7.12
2025-04;Aditivada;5.78
2025-04;Premium;4.96
2025-05;Comum;5.15
2025-05;Aditivada;6.33
2025-05;Premium;7.27
2025-06;Comum;5.61
2025-06;Aditivada;7.51
2025-06;Premium;6.26
2025-07;Comum;5.57
2025-07;Aditivada;7.69
2025-07;Premium;7.17
2025-08;Comum;7.56
2025-08;Aditivada;5.61
2025-08;Premium;7.01
2025-09;Comum;7.93
2025-09;Aditivada;6.78
2025-09;Premium;7.66
2025-10;Comum;5.21
2025-10;Aditivada;7.86
2025-10;Premium;7.13
2025-11;Comum;6.83
2025-11;Aditivada;7.56
2025-11;Premium;6.86
2025-12;Comum;6.68
2025-12;Aditivada;7.37
2025-12;Premium;5.97
2026-01;Comum;6.73
2026-01;Aditivada;6.74
2026-01;Premium;5.95
